Name,X,Y,Angle,Value,Package
BOOT_BUTTON,38.30,103.43,180.00,,MYBUTTON
C1,26.44,40.44,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,79.89,15.94,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,86.84,46.10,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,58.98,16.06,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,104.48,22.78,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,136.62,0.08,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,29.32,21.44,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,61.34,16.36,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,115.30,25.99,90.00,"100uF TANT",RCL_CT3528
C4,135.21,0.10,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,141.73,40.58,90.00,100nF,EAGLE-LTSPICE_C0402
C5,23.09,21.52,90.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,84.89,26.28,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,34.20,21.44,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,76.14,15.94,90.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,83.68,15.99,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,1.46,93.94,0.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,53.10,103.43,180.00,,MYBUTTON
CHG_LED,120.88,27.70,0.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,131.37,37.30,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,138.33,37.93,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,116.72,42.78,90.00,PGB1010603MR,DIOC1608X36N
D11,110.50,36.08,90.00,PGB1010603MR,DIOC1608X36N
D12,102.18,40.48,0.00,PGB1010603MR,DIOC1608X36N
D2,104.99,26.74,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,67.39,34.18,0.00,MBR0530,SOD3716X135N
D4,79.72,23.01,0.00,MBR0530,SOD3716X135N
D5,79.56,26.76,0.00,MBR0530,SOD3716X135N
D6,107.08,40.78,0.00,PGB1010603MR,DIOC1608X36N
D7,78.86,60.49,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,102.36,26.58,90.00,PGB1010603MR,DIOC1608X36N
D9,107.24,38.28,0.00,PGB1010603MR,DIOC1608X36N
EPD_C1,85.05,15.91,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,81.41,16.00,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,77.89,15.89,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,74.20,16.01,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,133.78,0.06,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,137.95,0.10,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,70.79,16.76,0.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,140.10,31.56,0.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,139.91,33.36,0.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
